trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
C01_route_2_0000001_21120,mxc_C01_P_STP_59,58,06:10:58,06:10:58,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_60,59,06:12:47,06:12:47,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_61,60,06:13:47,06:13:47,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_62,61,06:14:55,06:14:55,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_63,62,06:18:46,06:18:46,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_65,64,06:21:14,06:21:14,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_66,65,06:22:18,06:22:18,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_67,66,06:24:08,06:24:08,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_68,67,06:25:02,06:25:02,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_69,68,06:26:16,06:26:16,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_71,70,06:28:36,06:28:36,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_72,71,06:29:53,06:29:53,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_75,74,06:33:56,06:33:56,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_76,75,06:34:49,06:34:49,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_77,76,06:35:47,06:35:47,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_78,77,06:36:47,06:36:47,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_79,78,06:38:15,06:38:15,,,,,,
C01_route_2_0000001_21120,mxc_C01_P_STP_80,79,06:39:41,06:39:41,,,,,,
C01_route_2_0000001_21120,mxc_C104_STP_93,63,06:19:46,06:19:46,,,,,,
C01_route_2_0000001_21120,mxc_C107_STP_38,56,06:09:00,06:09:00,,,,,,
C01_route_2_0000001_21120,mxc_C109_STP_46,69,06:27:06,06:27:06,,,,,,
C01_route_2_0000001_21120,mxc_C110V1_STP_74,72,06:31:06,06:31:06,,,,,,
C01_route_2_0000001_21120,mxc_C110V1_STP_75,73,06:32:19,06:32:19,,,,,,
C01_trip_1,mxc_C01_P_STP_01,0,04:35:00,04:35:00,,,,,,
C01_trip_1,mxc_C01_P_STP_02,1,04:36:32,04:36:32,,,,,,
C01_trip_1,mxc_C01_P_STP_03,2,04:37:18,04:37:18,,,,,,
C01_trip_1,mxc_C01_P_STP_04,3,04:38:33,04:38:33,,,,,,
C01_trip_1,mxc_C01_P_STP_05,4,04:39:38,04:39:38,,,,,,
C01_trip_1,mxc_C01_P_STP_06,5,04:40:18,04:40:18,,,,,,
C01_trip_1,mxc_C01_P_STP_07,6,04:41:24,04:41:24,,,,,,
C01_trip_1,mxc_C01_P_STP_08,7,04:43:42,04:43:42,,,,,,
C01_trip_1,mxc_C01_P_STP_09,8,04:44:42,04:44:42,,,,,,
C01_trip_1,mxc_C01_P_STP_10,9,04:45:31,04:45:31,,,,,,
C01_trip_1,mxc_C01_P_STP_11,10,04:46:33,04:46:33,,,,,,
C01_trip_1,mxc_C01_P_STP_14,13,04:49:29,04:49:29,,,,,,
C01_trip_1,mxc_C01_P_STP_15,14,04:50:45,04:50:45,,,,,,
C01_trip_1,mxc_C01_P_STP_17,16,04:53:53,04:53:53,,,,,,
C01_trip_1,mxc_C01_P_STP_19,18,04:56:34,04:56:34,,,,,,
C01_trip_1,mxc_C01_P_STP_20,19,04:57:46,04:57:46,,,,,,
C01_trip_1,mxc_C01_P_STP_22,21,05:03:27,05:03:27,,,,,,
C01_trip_1,mxc_C01_P_STP_23,22,05:04:22,05:04:22,,,,,,
C01_trip_1,mxc_C01_P_STP_25,24,05:06:44,05:06:44,,,,,,
C01_trip_1,mxc_C01_P_STP_26,25,05:07:57,05:07:57,,,,,,
C01_trip_1,mxc_C01_P_STP_27,26,05:09:14,05:09:14,,,,,,
C01_trip_1,mxc_C01_P_STP_28,27,05:09:59,05:09:59,,,,,,
C01_trip_1,mxc_C01_P_STP_29,28,05:10:49,05:10:49,,,,,,
C01_trip_1,mxc_C01_P_STP_30,29,05:12:05,05:12:05,,,,,,
C01_trip_1,mxc_C01_P_STP_31,30,05:13:18,05:13:18,,,,,,
C01_trip_1,mxc_C01_P_STP_32,31,05:14:34,05:14:34,,,,,,
C01_trip_1,mxc_C01_P_STP_33,32,05:16:04,05:16:04,,,,,,
C01_trip_1,mxc_C01_P_STP_34,33,05:17:10,05:17:10,,,,,,
C01_trip_1,mxc_C01_P_STP_35,34,05:18:10,05:18:10,,,,,,
C01_trip_1,mxc_C01_P_STP_36,35,05:19:10,05:19:10,,,,,,
C01_trip_1,mxc_C01_P_STP_37,36,05:20:07,05:20:07,,,,,,
C01_trip_1,mxc_C01_P_STP_38,37,05:21:39,05:21:39,,,,,,
C01_trip_1,mxc_C01_P_STP_40,39,05:24:57,05:24:57,,,,,,
C01_trip_1,mxc_C01_P_STP_41,40,05:26:40,05:26:40,,,,,,
C01_trip_1,mxc_C08_STP_49,38,05:23:27,05:23:27,,,,,,
C01_trip_1,mxc_C104_STP_117,17,04:55:19,04:55:19,,,,,,
C01_trip_1,mxc_C104_STP_121,20,05:00:51,05:00:51,,,,,,
C01_trip_1,mxc_C107_STP_46,23,05:05:31,05:05:31,,,,,,
C01_trip_1,mxc_C109_STP_11,15,04:52:14,04:52:14,,,,,,
C01_trip_1,mxc_C110V1_STP_28,11,04:47:26,04:47:26,,,,,,
C01_trip_1,mxc_C110V1_STP_29,12,04:48:38,04:48:38,,,,,,
C01_trip_2,mxc_C01_P_STP_41,41,05:52:00,05:52:00,,,,,,
C01_trip_2,mxc_C01_P_STP_43,42,05:53:14,05:53:14,,,,,,
C01_trip_2,mxc_C01_P_STP_44,43,05:54:03,05:54:03,,,,,,
C01_trip_2,mxc_C01_P_STP_45,44,05:54:43,05:54:43,,,,,,
C01_trip_2,mxc_C01_P_STP_46,45,05:55:33,05:55:33,,,,,,
C01_trip_2,mxc_C01_P_STP_47,46,05:56:19,05:56:19,,,,,,
C01_trip_2,mxc_C01_P_STP_48,47,05:57:35,05:57:35,,,,,,
C01_trip_2,mxc_C01_P_STP_49,48,05:59:00,05:59:00,,,,,,
C01_trip_2,mxc_C01_P_STP_50,49,06:00:36,06:00:36,,,,,,
C01_trip_2,mxc_C01_P_STP_51,50,06:01:34,06:01:34,,,,,,
C01_trip_2,mxc_C01_P_STP_52,51,06:02:48,06:02:48,,,,,,
C01_trip_2,mxc_C01_P_STP_53,52,06:04:11,06:04:11,,,,,,
C01_trip_2,mxc_C01_P_STP_54,53,06:05:28,06:05:28,,,,,,
C01_trip_2,mxc_C01_P_STP_55,54,06:07:14,06:07:14,,,,,,
C01_trip_2,mxc_C01_P_STP_56,55,06:08:09,06:08:09,,,,,,
C01_trip_2,mxc_C01_P_STP_58,57,06:09:42,06:09:42,,,,,,
C01_trip_2,mxc_C01_P_STP_59,58,06:10:58,06:10:58,,,,,,
C01_trip_2,mxc_C01_P_STP_60,59,06:12:47,06:12:47,,,,,,
C01_trip_2,mxc_C01_P_STP_61,60,06:13:47,06:13:47,,,,,,
C01_trip_2,mxc_C01_P_STP_62,61,06:14:55,06:14:55,,,,,,
C01_trip_2,mxc_C01_P_STP_63,62,06:18:46,06:18:46,,,,,,
C01_trip_2,mxc_C01_P_STP_65,64,06:21:14,06:21:14,,,,,,
C01_trip_2,mxc_C01_P_STP_66,65,06:22:18,06:22:18,,,,,,
C01_trip_2,mxc_C01_P_STP_67,66,06:24:08,06:24:08,,,,,,
C01_trip_2,mxc_C01_P_STP_68,67,06:25:02,06:25:02,,,,,,
C01_trip_2,mxc_C01_P_STP_69,68,06:26:16,06:26:16,,,,,,
C01_trip_2,mxc_C01_P_STP_71,70,06:28:36,06:28:36,,,,,,
C01_trip_2,mxc_C01_P_STP_72,71,06:29:53,06:29:53,,,,,,
C01_trip_2,mxc_C01_P_STP_75,74,06:33:56,06:33:56,,,,,,
C01_trip_2,mxc_C01_P_STP_76,75,06:34:49,06:34:49,,,,,,
C01_trip_2,mxc_C01_P_STP_77,76,06:35:47,06:35:47,,,,,,
C01_trip_2,mxc_C01_P_STP_78,77,06:36:47,06:36:47,,,,,,
C01_trip_2,mxc_C01_P_STP_79,78,06:38:15,06:38:15,,,,,,
C01_trip_2,mxc_C01_P_STP_80,79,06:39:41,06:39:41,,,,,,
C01_trip_2,mxc_C104_STP_93,63,06:19:46,06:19:46,,,,,,
C01_trip_2,mxc_C107_STP_38,56,06:09:00,06:09:00,,,,,,
C01_trip_2,mxc_C109_STP_46,69,06:27:06,06:27:06,,,,,,
C01_trip_2,mxc_C110V1_STP_74,72,06:31:06,06:31:06,,,,,,
C01_trip_2,mxc_C110V1_STP_75,73,06:32:19,06:32:19,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_04,83,04:24:08,04:24:08,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_05,84,04:24:56,04:24:56,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_06,85,04:25:59,04:25:59,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_07,86,04:26:49,04:26:49,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_08,87,04:29:39,04:29:39,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_09,88,04:33:20,04:33:20,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_10,89,04:34:35,04:34:35,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_12,91,04:37:39,04:37:39,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_13,92,04:38:41,04:38:41,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_14,93,04:40:36,04:40:36,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_16,95,04:42:16,04:42:16,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_17,96,04:43:31,04:43:31,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_19,98,04:45:18,04:45:18,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_21,100,04:47:08,04:47:08,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_22,101,04:48:03,04:48:03,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_23,102,04:48:50,04:48:50,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_24,103,04:49:31,04:49:31,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_25,104,04:50:31,04:50:31,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_26,105,04:51:27,04:51:27,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_28,107,04:53:26,04:53:26,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_29,108,04:55:14,04:55:14,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_30,109,04:56:02,04:56:02,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_31,110,04:57:05,04:57:05,,,,,,
